worn,platform RMS,platform kur,platform fft total,platform rsf1,platform rsf2
0,0.219929577,3.138289773,5.435478799,0.320548382,0.094286242
0,0.226029149,3.087817605,5.834992029,0.306413753,0.104484744
0,0.219373698,3.044511367,4.877768263,0.346300265,0.109660109
0,0.223395619,3.024366868,5.058535993,0.339188738,0.103610497
0,0.205641776,3.027735972,3.840866197,0.334951033,0.10374783
0,0.206009276,3.001614042,3.924598461,0.319315355,0.112064046
0,0.22385907,3.145975137,3.503934924,0.355174789,0.087408098
0,0.221357608,3.090542593,3.507071364,0.353965554,0.088404403
0,0.228446152,3.132392147,3.330684146,0.348669173,0.089919416
0,0.225554156,3.088355571,3.333580411,0.355169657,0.085194921
0,0.213682753,3.158667335,3.352386631,0.35299793,0.092680035
0,0.210654848,3.116252615,3.47534117,0.343598737,0.079888019
0,0.201168954,3.036722564,3.921280316,0.346629307,0.086494874
0,0.204315651,3.054512298,4.254578909,0.336703957,0.078170933
0,0.221621837,3.103225928,5.625835394,0.327755837,0.098341128
0,0.22716115,3.085529394,5.834498177,0.319339662,0.100026994
10,0.473816696,2.827163409,7.891250909,0.564242809,0.35627095
10,0.477660743,2.854815559,8.445841777,0.560715748,0.337483323
10,0.468819575,2.850499934,5.770612998,0.512486606,0.300515202
10,0.47170143,2.813379944,6.543383114,0.575053774,0.325002051
10,0.48432075,2.947841028,4.858442776,0.5108779,0.286816452
10,0.484686789,2.909102502,4.980397903,0.522679568,0.271756287
10,0.487542809,3.020212442,4.583813634,0.518377136,0.27199248
10,0.490896314,3.055213731,4.577253677,0.532006182,0.256306647
10,0.47613332,3.056594411,4.912116406,0.525106729,0.272822507
10,0.475982368,2.980613219,5.130909868,0.536532997,0.270655845
10,0.46364881,2.96193303,6.153721986,0.54039093,0.293113689
10,0.468888537,2.963525622,6.558549369,0.506968931,0.265675383
10,0.462727984,2.915906904,8.366648023,0.533208795,0.263573033
10,0.470826805,2.946686297,8.581040325,0.505818651,0.244321263
10,0.472111407,2.818861778,7.734025425,0.469381543,0.307448191
10,0.477670439,2.817108066,8.242731922,0.48153751,0.302047551
10,0.467802855,2.781756279,6.757380313,0.555421386,0.340878931
10,0.470719253,2.773987382,6.615768409,0.534846257,0.298707054
10,0.480773459,2.893962233,5.947534524,0.560081731,0.363944565
10,0.479276893,2.850440395,6.198280533,0.58536312,0.364103785
10,0.490983336,3.037824435,6.242914831,0.662342618,0.421504705
10,0.487164508,2.954292922,5.994673127,0.62243791,0.392770254
10,0.470764718,2.970535189,6.445203805,0.684215083,0.421577914
10,0.473949415,2.956821039,6.581422033,0.673791708,0.3978252
10,0.459955752,2.90149934,9.797602679,0.67043589,0.381624403
10,0.470949533,2.911500985,9.95536134,0.591771445,0.331486222
10,0.47318252,2.843744601,7.931240142,0.491829901,0.312219488
10,0.473225897,2.847373713,8.331071459,0.513510499,0.311311955
10,0.465907101,2.813462224,5.873364342,0.458769777,0.300449326
10,0.4711681,2.795785824,6.325045794,0.476148164,0.299566784
10,0.480419813,2.918490092,5.14129044,0.487004062,0.316242177
10,0.480197475,2.863586237,5.275054761,0.492860227,0.303470349
10,0.484140046,3.063078778,5.148964005,0.51656477,0.310165131
10,0.483935272,2.993052611,5.029541893,0.507079203,0.292214397
10,0.46496837,2.931111441,7.086186221,0.624471513,0.367742964
10,0.466367468,2.967245646,7.560836464,0.644383854,0.342003535
10,0.458868622,2.908719552,9.536389265,0.620541682,0.386984701
10,0.469295484,2.883372111,9.840659168,0.622724587,0.33288754
10,0.473354561,2.801740464,8.472117408,0.571430467,0.352780329
10,0.478273546,2.815258654,8.939152389,0.556799152,0.316010996
10,0.470672652,2.790624447,6.372021445,0.533603103,0.326026119
10,0.471849376,2.754674483,6.540058922,0.524346734,0.301356586
10,0.483652608,2.920693497,5.428348952,0.545266436,0.325097202
10,0.479197218,2.899357937,5.883196849,0.566379104,0.324955397
10,0.484929159,3.035678423,5.706981894,0.603937611,0.371389855
10,0.483181782,2.977332707,5.830790127,0.621274428,0.368685588
10,0.475548361,3.010777234,6.308174782,0.672237918,0.409018105
10,0.477283629,3.042226161,6.259396586,0.60515362,0.345191228
10,0.459119244,2.995226318,7.194048674,0.623462501,0.372918336
10,0.465675449,2.924248317,7.664290408,0.61398412,0.342526648
10,0.459318907,2.911909424,9.954806533,0.686567118,0.384731552
10,0.467540109,2.9023512,9.806431997,0.627905622,0.343468303
10,0.482258081,2.8328451,8.035257936,0.526126505,0.331591057
10,0.483850185,2.852621739,8.182823748,0.506056553,0.299866076
10,0.472282044,2.826943284,6.278309501,0.51694953,0.317611446
10,0.472385708,2.819365535,6.573195988,0.493391355,0.279601384
10,0.478220153,2.90808347,5.879853758,0.574972779,0.369822863
10,0.473974993,2.938077378,5.999635471,0.567703306,0.342570188
10,0.483970725,2.994888648,6.000828896,0.646088634,0.372847288
10,0.485374779,3.025325159,5.865947854,0.628161799,0.363243057
5,0.309293456,3.94818846,4.402444357,0.362478947,0.400693198
5,0.308447289,4.180661237,4.193399372,0.352906412,0.40430722
5,0.31014489,4.083557742,3.707252103,0.347397635,0.400478602
5,0.298859201,4.151630742,3.503114393,0.333038168,0.403056881
5,0.338100525,4.30664017,3.286903723,0.333827869,0.388832805
5,0.325939128,4.332747743,3.148173186,0.325576472,0.395568779
5,0.278483852,3.922347718,3.244849693,0.287347802,0.406282443
5,0.288092107,4.064581958,3.330724891,0.322407538,0.401774541
5,0.306264372,4.116803171,2.824765555,0.289290628,0.394161112
5,0.314771755,4.242874529,3.009110795,0.321328475,0.39347908
5,0.263536082,3.911803138,3.844128497,0.287760594,0.427962148
5,0.280145904,4.001665932,4.005754499,0.292504994,0.429658108
5,0.310769817,4.342618527,4.608003409,0.261590825,0.439667296
5,0.303987208,4.22440008,4.783589652,0.280692339,0.450175543
5,0.310282051,4.130355551,4.35595184,0.366832318,0.3590173
5,0.317866822,4.251417444,4.224519521,0.371653508,0.35388901
5,0.306582358,4.202894448,3.704948539,0.349127712,0.366695508
5,0.297625413,4.190608951,3.608568206,0.342391262,0.371514218
5,0.328593198,4.332089988,3.169060295,0.320783218,0.3682184
5,0.319890805,4.1574516,3.215533815,0.314896058,0.379975486
5,0.310563241,4.116841135,2.973301947,0.320032581,0.379409915
5,0.319093363,4.191672978,3.08032049,0.317998349,0.382485843
5,0.270000378,4.026857574,3.267463564,0.314092706,0.398110155
5,0.289927503,4.130254129,3.461784848,0.317429848,0.394263859
5,0.273830984,3.947681848,4.058932634,0.292516853,0.413920401
5,0.26847169,4.016404969,4.038439057,0.304920351,0.386479504
5,0.307616245,4.405678473,4.798069632,0.267976204,0.408370115
5,0.309915628,4.399495921,4.986419004,0.272166311,0.43577293
5,0.318855317,4.314202784,4.479589483,0.388381664,0.368728796
5,0.3137084,4.10835091,4.203442404,0.393879218,0.382054134
5,0.309688345,4.139463172,3.747574132,0.364586638,0.386966883
5,0.303694993,4.130541882,3.844010002,0.398260445,0.363348141
5,0.336254407,4.180144602,3.413052839,0.32720621,0.394749651
5,0.329399344,4.15803317,3.370598915,0.354168531,0.386764184
5,0.317796714,4.06365353,3.02729509,0.3109482,0.389746669
5,0.315343521,4.208065118,3.136508905,0.334536201,0.395238425
5,0.266673865,3.866210674,3.32219716,0.289370482,0.421704302
5,0.279943095,4.048736898,3.37673657,0.322369117,0.402306154
5,0.260022621,3.906830205,3.937902477,0.275587802,0.436533408
5,0.26923139,3.926817096,4.138937855,0.30917666,0.422144623
5,0.309903179,4.290365492,5.052340031,0.261674344,0.438164464
5,0.296058911,4.242102722,5.205141271,0.265386035,0.45274824
5,0.322629654,4.228366272,3.442488207,0.33690154,0.400818851
5,0.330029025,4.131011636,3.551229275,0.356295305,0.380248878
5,0.270896939,3.978929556,3.375360306,0.315488622,0.394393034
5,0.27559729,4.122737524,3.396624866,0.330436296,0.398606353
5,0.321438208,4.150876561,3.166072099,0.317447761,0.398887073
5,0.324809542,4.383506845,3.232666943,0.33276776,0.385660789
5,0.268267365,4.02145317,4.134709549,0.294950253,0.413114125
5,0.269606205,4.157992318,4.147985059,0.296588563,0.413122282
5,0.289302791,4.163874003,4.964633739,0.269716109,0.443881816
5,0.277095009,4.355161316,4.890157288,0.274626421,0.440622032
5,0.303341845,4.102157715,4.215295926,0.394191643,0.382794669
5,0.314666738,4.273416987,4.243781203,0.395094267,0.375006712
5,0.299414455,4.153454415,3.624468731,0.360966144,0.389653356
5,0.296587953,4.049787226,3.696190564,0.386932384,0.370691731
5,0.336110908,4.217942785,3.366074463,0.328549531,0.389337024
5,0.303325828,4.333375395,3.376617789,0.3288759,0.399112208
